,beta1,beta2,eps,lr,num_epochs,weight_decay
0,0.36130155909061434,0.17062872406840324,4.0908399224281316e-09,0.007396255052646735,11.0,0.07426799833774567
1,0.006541205015033484,0.9421823013424874,7.568320035934448e-09,0.03481313700943345,4.0,0.13014743328094483
2,0.8337753158211708,0.3814658617079258,1.213175281882286e-09,0.0027795858859352663,12.0,0.17103976607322693
3,0.478842188090086,0.577359069943428,9.814373254776002e-09,0.001101593573794389,14.0,0.0808928221464157
4,0.6817089541554451,0.012739886490628124,1.4670458436012268e-09,0.0878804194884555,2.0,0.22029588818550108
5,0.9503708757162094,0.8489264917373657,5.489565134048462e-09,0.016259448976611468,9.0,0.2760655045509338
6,0.15432905830442906,0.2857628402709961,3.211897909641266e-09,0.00023364758162315526,6.0,0.025087686628103255
7,0.7608384175300598,0.06599630608409643,8.149135112762451e-09,0.00012864318584201174,8.0,0.05576819032430649
8,0.08972091085463763,0.5008581628203392,5.540801584720611e-10,0.009964146101301755,8.0,0.24542398452758787
9,0.2956825080513954,0.35340931060910225,6.52972936630249e-09,0.05999281477445371,2.0,0.15118383765220642
10,0.6234125735163689,0.7887665299773217,4.749779999256134e-09,0.0008384357959343378,14.0,0.1499704599380493
11,0.19068057587742807,0.21882395853102207,6.158747673034668e-09,0.001900032889547705,13.0,0.20044081807136535
12,0.8930432333350181,0.6580839235782623,2.620990574359894e-09,0.026487017510093296,3.0,0.10071670711040497
13,0.7253782743215561,0.44648978984355925,9.145340919494628e-09,0.004070751884034784,11.0,0.006586450338363648
14,0.42883245250582697,0.8852545634508133,2.058103382587433e-09,0.000315037114956458,5.0,0.2946065068244934
15,0.11447367238998413,0.8130623354315758,8.92387628555298e-09,0.00027594553812741187,4.0,0.17942408323287964
16,0.7855949825048447,0.25332264286279677,2.2953131794929504e-09,0.003743561084766876,13.0,0.12173243165016173
17,0.5791417888998985,0.601501189649105,5.772182941436767e-09,0.01869179330751397,5.0,0.06511190682649612
18,0.2514155343174934,0.041266086068004366,3.0257418751716616e-09,0.0014083510000624533,11.0,0.2360823333263397
19,0.9343891655802726,0.9702271220684051,6.61198616027832e-09,0.0005909360201841137,9.0,0.034604714065790174
20,0.2320150308161974,0.4060892839729786,4.685862362384796e-09,0.04456219866272601,7.0,0.26658588051795956
21,0.3992036146223545,0.697928249001503,8.708992004394532e-09,0.008716662572710254,13.0,0.20985546112060546
22,0.6957380633354187,0.13428563211858272,1.0121045634150506e-11,0.00011855242074499365,2.0,0.09129954278469085
23,0.34044209790229796,0.48283387917280196,5.1130712032318116e-09,0.00015569555344182475,1.0,0.13955588936805724
24,0.5120669807195664,0.9172148278355599,3.6065781116485596e-09,0.01276312875554427,15.0,0.16163352727890015
25,0.8663281129002571,0.19420144432783126,9.582837820053101e-09,0.07268526541223853,7.0,0.2548934161663055
26,0.03910541985556483,0.6300381501317024,1.7143264412879943e-09,0.0010728255590584516,9.0,0.04625819027423859
27,0.6442725110650063,0.3248840209543705,8.118106126785279e-09,0.002296080430094596,10.0,0.2853983938694
28,0.4414019936621189,0.7646234575510025,6.792869418859482e-10,0.03397570372362524,6.0,0.015752430260181426
29,0.17225609001517295,0.09843749342858792,7.20302700996399e-09,0.004922381491744737,12.0,0.1091221421957016
30,0.9682940518856049,0.5367213664054871,4.0168514847755434e-09,0.0004038521701236709,4.0,0.1920640468597412
31,0.2672086057662964,0.24902722741663455,7.742959856987e-09,0.0004486714392384206,10.0,0.0020044597797095774
32,0.563838058590889,0.6843884214162826,9.584563225507737e-10,0.005496401497285695,7.0,0.29918949007987977
33,0.8010212565064431,0.4591630286872387,6.9359320402145384e-09,0.030417009087807256,14.0,0.20523265600204468
34,0.09855924070626497,0.8940290014743805,4.3454402685165405e-09,0.00206601037800249,1.0,0.09592357277870178
